cohortId,cohortName
2757,First_diagnosis_of__Abnormal_fetal_heart_beat__not_clear_if_noted_before_OR_after_onset_of_labor_in_liveborn_infant
2758,First_diagnosis_of__Abnormal_fetal_heart_beat_first_noted_during_labor_AND_OR_delivery_in_liveborn_infant
2759,First_diagnosis_of__Abnormal_fetal_heart_beat_noted_before_labor_in_liveborn_infant
2760,First_diagnosis_of__Abnormal_fetal_heart_rate
2761,First_diagnosis_of__Abnormal_fetal_presentation
2762,First_diagnosis_of__Abnormal_finding_on_auditory_function_study
2763,First_diagnosis_of__Abnormal_finding_on_evaluation_procedure
2764,First_diagnosis_of__Abnormal_finding_on_screening_procedure
2765,First_diagnosis_of__Abnormal_findings_diagnostic_imaging_heart_coronary_circulat
2766,First_diagnosis_of__Abnormal_findings_diagnostic_imaging_of_liver_biliary_tract
2767,First_diagnosis_of__Abnormal_findings_in_specimens_from_digestive_organs_and_abdominal_cavity__finding_
2768,First_diagnosis_of__Abnormal_findings_on_antenatal_screening_of_mother
2769,First_diagnosis_of__Abnormal_findings_on_diagnostic_imaging_of_breast
2770,First_diagnosis_of__Abnormal_findings_on_diagnostic_imaging_of_limbs
2771,First_diagnosis_of__Abnormal_findings_on_diagnostic_imaging_of_lung
2772,First_diagnosis_of__Abnormal_findings_on_diagnostic_imaging_of_skull_and_head
2773,First_diagnosis_of__Abnormal_findings_on_diagnostic_imaging_of_urinary_organs
2774,First_diagnosis_of__Abnormal_findings_on_microbiological_examination_of_urine
2775,First_diagnosis_of__Abnormal_gamma_globulin_level
2776,First_diagnosis_of__Abnormal_globulin_level
2777,First_diagnosis_of__Abnormal_glucose_level
2778,First_diagnosis_of__Abnormal_glucose_tolerance_in_mother_complicating_pregnancy__childbirth_AND_OR_puerperium
2779,First_diagnosis_of__Abnormal_glucose_tolerance_test_during_pregnancy__childbirth_and_the_puerperium
2780,First_diagnosis_of__Abnormal_glucose_tolerance_test
2781,First_diagnosis_of__Abnormal_granulation_tissue
2782,First_diagnosis_of__Abnormal_hard_tissue_formation_in_pulp
2783,First_diagnosis_of__Abnormal_heart_beat
2784,First_diagnosis_of__Abnormal_hematologic_finding_on_antenatal_screening_of_mother
2785,First_diagnosis_of__Abnormal_histological_finding_in_specimen_from_female_genital_organ
2786,First_diagnosis_of__Abnormal_histological_finding_in_specimen_from_male_genital_organ
2787,First_diagnosis_of__Abnormal_histology_findings
2788,First_diagnosis_of__Abnormal_hormone_level_in_specimen_from_digestive_organ_and_abdomen
2789,First_diagnosis_of__Abnormal_hormone_level_in_specimen_from_female_genital_organ
2790,First_diagnosis_of__Abnormal_hormone_level_in_specimen_from_male_genital_organ
2791,First_diagnosis_of__Abnormal_hormone_level_in_specimen_from_respiratory_organ_and_thorax
2792,First_diagnosis_of__Abnormal_hormone_levels_in_cerebrospinal_fluid
2793,First_diagnosis_of__Abnormal_hormone_secretion
2794,First_diagnosis_of__Abnormal_immunological_finding_in_specimen_from_female_genital_organ
2795,First_diagnosis_of__Abnormal_immunological_finding_in_specimen_from_male_genital_organ
2796,First_diagnosis_of__Abnormal_immunological_findings_in_CSF
2797,First_diagnosis_of__Abnormal_innervation_syndrome
2798,First_diagnosis_of__Abnormal_intercuspation
2799,First_diagnosis_of__Abnormal_involuntary_movement
2800,First_diagnosis_of__Abnormal_jaw_closure
2801,First_diagnosis_of__Abnormal_jaw_movement
2802,First_diagnosis_of__Abnormal_keratinization
2803,First_diagnosis_of__Abnormal_lateral_conjugate_gaze
2804,First_diagnosis_of__Abnormal_level_of_blood_mineral
2805,First_diagnosis_of__Abnormal_liver_function
2806,First_diagnosis_of__Abnormal_menstrual_cycle
2807,First_diagnosis_of__Abnormal_metabolic_state_due_to_diabetes_mellitus
2808,First_diagnosis_of__Abnormal_microbiological_finding_in_cerebrospinal_fluid
2809,First_diagnosis_of__Abnormal_microbiological_finding_in_specimen_from_female_genital_organ
2810,First_diagnosis_of__Abnormal_movement
2811,First_diagnosis_of__Abnormal_muscle_function
2812,First_diagnosis_of__Abnormal_peripheral_vision
2813,First_diagnosis_of__Abnormal_plasma_viscosity
2814,First_diagnosis_of__Abnormal_position_of_cardiac_valve
2815,First_diagnosis_of__Abnormal_posture
2816,First_diagnosis_of__Abnormal_presence_of_protein
2817,First_diagnosis_of__Abnormal_products_of_conception
2818,First_diagnosis_of__Abnormal_pupillary_function
2819,First_diagnosis_of__Abnormal_radiological_finding_on_antenatal_screening_of_mother
2820,First_diagnosis_of__Abnormal_reflex
2821,First_diagnosis_of__Abnormal_respiratory_rhythm
2822,First_diagnosis_of__Abnormal_response_to_nerve_stimulation
2823,First_diagnosis_of__Abnormal_results_function_studies_of_central_nervous_system
2824,First_diagnosis_of__Abnormal_results_function_studies_peripheral_nervous_system_special_senses
2825,First_diagnosis_of__Abnormal_results_of_cardiovascular_function_studies
2826,First_diagnosis_of__Abnormal_retinal_correspondence
2827,First_diagnosis_of__Abnormal_sexual_function
2828,First_diagnosis_of__Abnormal_size_of_tooth
2829,First_diagnosis_of__Abnormal_spontaneous_eye_movements
2830,First_diagnosis_of__Abnormal_sputum
2831,First_diagnosis_of__Abnormal_umbilical_cord
2832,First_diagnosis_of__Abnormal_urinalysis
2833,First_diagnosis_of__Abnormal_urinary_product
2834,First_diagnosis_of__Abnormal_urinary_stream
2835,First_diagnosis_of__Abnormal_urination
2836,First_diagnosis_of__Abnormal_urine
2837,First_diagnosis_of__Abnormal_uterine_bleeding
2838,First_diagnosis_of__Abnormal_vaginal_bleeding
2839,First_diagnosis_of__Abnormal_vaginal_Papanicolaou_smear
2840,First_diagnosis_of__Abnormal_ventriculoarterial_connection
2841,First_diagnosis_of__Abnormal_vision
2842,First_diagnosis_of__Abnormal_visual_evoked_potential
2843,First_diagnosis_of__Abnormal_weight_gain_in_pregnancy
2844,First_diagnosis_of__Abnormality_of_abdominal_aorta
2845,First_diagnosis_of__Abnormality_of_aortic_arch_branch
2846,First_diagnosis_of__Abnormality_of_aortic_arch
2847,First_diagnosis_of__Abnormality_of_aortic_valve
2848,First_diagnosis_of__Abnormality_of_arterial_duct
2849,First_diagnosis_of__Abnormality_of_atrial_septum
2850,First_diagnosis_of__Abnormality_of_atrioventricular__non_mitral__non_tricuspid__valve
2851,First_diagnosis_of__Abnormality_of_canalization_and_retrogressive_differentiation
2852,First_diagnosis_of__Abnormality_of_fetal_heart
2853,First_diagnosis_of__Abnormality_of_forces_of_labor
2854,First_diagnosis_of__Abnormality_of_hepatic_vein
2855,First_diagnosis_of__Abnormality_of_organs_AND_OR_soft_tissues_of_pelvis_affecting_pregnancy
2856,First_diagnosis_of__Abnormality_of_pulmonary_valve
2857,First_diagnosis_of__Abnormality_of_secretion_of_gastrin
2858,First_diagnosis_of__Abnormality_of_secretion_of_glucagon
2859,First_diagnosis_of__Abnormality_of_systemic_vein
2860,First_diagnosis_of__Abnormality_of_thoracoabdominal_aorta
2861,First_diagnosis_of__ABO_group_phenotype
2862,First_diagnosis_of__ABO_incompatibility_reaction
2863,First_diagnosis_of__Abrasion__abdominal_wall
2864,First_diagnosis_of__Abrasion__ankle
2865,First_diagnosis_of__Abrasion__anus
2866,First_diagnosis_of__Abrasion__breast
2867,First_diagnosis_of__Abrasion__chest_wall
2868,First_diagnosis_of__Abrasion__elbow_area
2869,First_diagnosis_of__Abrasion__forearm_area
2870,First_diagnosis_of__Abrasion__hip
2871,First_diagnosis_of__Abrasion__knee
2872,First_diagnosis_of__Abrasion__lower_leg
2873,First_diagnosis_of__Abrasion__penis
2874,First_diagnosis_of__Abrasion__shoulder_area
2875,First_diagnosis_of__Abrasion__thigh
2876,First_diagnosis_of__Abrasion__thumb
2877,First_diagnosis_of__Abrasion__toe
2878,First_diagnosis_of__Abrasion__upper_arm
2879,First_diagnosis_of__Abrasion_and_or_friction_burn_of_finger__infected
2880,First_diagnosis_of__Abrasion_and_or_friction_burn_of_finger_without_infection
2881,First_diagnosis_of__Abrasion_and_or_friction_burn_of_foot_and_or_toe__infected
2882,First_diagnosis_of__Abrasion_and_or_friction_burn_of_foot_without_infection
2883,First_diagnosis_of__Abrasion_and_or_friction_burn_of_hand__infected
2884,First_diagnosis_of__Abrasion_and_or_friction_burn_of_hand_without_infection
2885,First_diagnosis_of__Abrasion_and_or_friction_burn_of_head_and_or_neck
2886,First_diagnosis_of__Abrasion_and_or_friction_burn_of_lower_limb__infected
2887,First_diagnosis_of__Abrasion_and_or_friction_burn_of_lower_limb_without_infection
2888,First_diagnosis_of__Abrasion_and_or_friction_burn_of_multiple_sites
2889,First_diagnosis_of__Abrasion_and_or_friction_burn_of_shoulder_and_or_upper_arm__infected
2890,First_diagnosis_of__Abrasion_and_or_friction_burn_of_skin
2891,First_diagnosis_of__Abrasion_and_or_friction_burn_of_trunk__infected
2892,First_diagnosis_of__Abrasion_and_or_friction_burn_of_trunk_without_infection
2893,First_diagnosis_of__Abrasion_and_or_friction_burn_of_upper_limb__infected
2894,First_diagnosis_of__Abrasion_and_or_friction_burn_of_upper_limb_without_infection
2895,First_diagnosis_of__Abrasion_and_or_friction_burn_with_infection
2896,First_diagnosis_of__Abrasion_and_or_friction_burn_without_infection
2897,First_diagnosis_of__Abrasion_and_or_friction_burn
2898,First_diagnosis_of__Abrasion_of_ear_region
2899,First_diagnosis_of__Abrasion_of_eye_region
2900,First_diagnosis_of__Abrasion_of_face
2901,First_diagnosis_of__Abrasion_of_finger
2902,First_diagnosis_of__Abrasion_of_foot
2903,First_diagnosis_of__Abrasion_of_genitalia
2904,First_diagnosis_of__Abrasion_of_hand
2905,First_diagnosis_of__Abrasion_of_head_and_or_neck
2906,First_diagnosis_of__Abrasion_of_head
2907,First_diagnosis_of__Abrasion_of_lower_limb
2908,First_diagnosis_of__Abrasion_of_neck
2909,First_diagnosis_of__Abrasion_of_nose
2910,First_diagnosis_of__Abrasion_of_pelvic_region
2911,First_diagnosis_of__Abrasion_of_perineum
2912,First_diagnosis_of__Abrasion_of_scalp
2913,First_diagnosis_of__Abrasion_of_throat
2914,First_diagnosis_of__Abrasion_of_tooth_extending_into_dentine
2915,First_diagnosis_of__Abrasion_of_tooth_limited_to_enamel
2916,First_diagnosis_of__Abrasion_of_tooth
2917,First_diagnosis_of__Abrasion_of_trunk
2918,First_diagnosis_of__Abrasion_of_upper_limb
2919,First_diagnosis_of__Abrasion_of_wrist
2920,First_diagnosis_of__Abrasion
2921,First_diagnosis_of__Abscess_caused_by_Entamoeba_histolytica
2922,First_diagnosis_of__Abscess_of_abdominal_wall
2923,First_diagnosis_of__Abscess_of_axilla
2924,First_diagnosis_of__Abscess_of_back__except_buttock
2925,First_diagnosis_of__Abscess_of_back
2926,First_diagnosis_of__Abscess_of_Bartholin_s_gland
2927,First_diagnosis_of__Abscess_of_bone_of_skull
2928,First_diagnosis_of__Abscess_of_brain
2929,First_diagnosis_of__Abscess_of_breast
2930,First_diagnosis_of__Abscess_of_bursa_of_elbow
2931,First_diagnosis_of__Abscess_of_bursa_of_hand
2932,First_diagnosis_of__Abscess_of_bursa_of_hip
2933,First_diagnosis_of__Abscess_of_bursa_of_knee
2934,First_diagnosis_of__Abscess_of_bursa_of_shoulder
2935,First_diagnosis_of__Abscess_of_bursa_of_wrist
2936,First_diagnosis_of__Abscess_of_bursa
2937,First_diagnosis_of__Abscess_of_buttock
2938,First_diagnosis_of__Abscess_of_chest_wall
2939,First_diagnosis_of__Abscess_of_connective_tissue
2940,First_diagnosis_of__Abscess_of_corpus_cavernosum
2941,First_diagnosis_of__Abscess_of_digestive_system
2942,First_diagnosis_of__Abscess_of_digit
2943,First_diagnosis_of__Abscess_of_elbow
2944,First_diagnosis_of__Abscess_of_external_ear
2945,First_diagnosis_of__Abscess_of_eye
2946,First_diagnosis_of__Abscess_of_eyelid
2947,First_diagnosis_of__Abscess_of_face
2948,First_diagnosis_of__Abscess_of_female_genital_structure
2949,First_diagnosis_of__Abscess_of_finger
2950,First_diagnosis_of__Abscess_of_foot
2951,First_diagnosis_of__Abscess_of_forearm
2952,First_diagnosis_of__Abscess_of_groin
2953,First_diagnosis_of__Abscess_of_hand
2954,First_diagnosis_of__Abscess_of_head__except_face
2955,First_diagnosis_of__Abscess_of_hip
2956,First_diagnosis_of__Abscess_of_intestine_co_occurrent_and_due_to_chronic_ulcerative_pancolitis
2957,First_diagnosis_of__Abscess_of_intestine_co_occurrent_and_due_to_chronic_ulcerative_proctitis
2958,First_diagnosis_of__Abscess_of_intestine_co_occurrent_and_due_to_chronic_ulcerative_rectosigmoiditis
2959,First_diagnosis_of__Abscess_of_intestine_co_occurrent_and_due_to_colonic_inflammatory_polyps
2960,First_diagnosis_of__Abscess_of_intestine_co_occurrent_and_due_to_Crohn_s_disease_of_large_intestine
2961,First_diagnosis_of__Abscess_of_intestine_co_occurrent_and_due_to_Crohn_s_disease_of_small_and_large_intestine
2962,First_diagnosis_of__Abscess_of_intestine_co_occurrent_and_due_to_Crohn_s_disease_of_small_intestine
2963,First_diagnosis_of__Abscess_of_intestine_co_occurrent_and_due_to_Crohn_s_disease
2964,First_diagnosis_of__Abscess_of_intestine_co_occurrent_and_due_to_diverticular_disease
2965,First_diagnosis_of__Abscess_of_intestine_co_occurrent_and_due_to_ulcerative_colitis
2966,First_diagnosis_of__Abscess_of_intestine
2967,First_diagnosis_of__Abscess_of_knee
2968,First_diagnosis_of__Abscess_of_left_external_ear
2969,First_diagnosis_of__Abscess_of_left_eyelid
2970,First_diagnosis_of__Abscess_of_left_lower_eyelid
2971,First_diagnosis_of__Abscess_of_left_upper_eyelid
2972,First_diagnosis_of__Abscess_of_limb
2973,First_diagnosis_of__Abscess_of_liver
2974,First_diagnosis_of__Abscess_of_lower_eyelid
2975,First_diagnosis_of__Abscess_of_lower_leg
2976,First_diagnosis_of__Abscess_of_lower_limb
2977,First_diagnosis_of__Abscess_of_lung_and_mediastinum
2978,First_diagnosis_of__Abscess_of_lung_with_pneumonia
2979,First_diagnosis_of__Abscess_of_lung
2980,First_diagnosis_of__Abscess_of_mastoid
2981,First_diagnosis_of__Abscess_of_mediastinum
2982,First_diagnosis_of__Abscess_of_neck
2983,First_diagnosis_of__Abscess_of_nervous_system
2984,First_diagnosis_of__Abscess_of_oral_soft_tissue
2985,First_diagnosis_of__Abscess_of_oral_tissue
2986,First_diagnosis_of__Abscess_of_orbit
2987,First_diagnosis_of__Abscess_of_pectoral_region
2988,First_diagnosis_of__Abscess_of_penis
2989,First_diagnosis_of__Abscess_of_perineum
2990,First_diagnosis_of__Abscess_of_peritoneum
2991,First_diagnosis_of__Abscess_of_pharynx
2992,First_diagnosis_of__Abscess_of_prostate
2993,First_diagnosis_of__Abscess_of_right_external_ear
2994,First_diagnosis_of__Abscess_of_right_eyelid
2995,First_diagnosis_of__Abscess_of_right_lower_eyelid
2996,First_diagnosis_of__Abscess_of_right_upper_eyelid
2997,First_diagnosis_of__Abscess_of_salivary_gland
2998,First_diagnosis_of__Abscess_of_shoulder
2999,First_diagnosis_of__Abscess_of_skin_and_or_subcutaneous_tissue
3000,First_diagnosis_of__Abscess_of_spinal_cord_caused_by_bacterium
3001,First_diagnosis_of__Abscess_of_temporal_bone
3002,First_diagnosis_of__Abscess_of_tendon_of_forearm
3003,First_diagnosis_of__Abscess_of_tendon_of_hand
3004,First_diagnosis_of__Abscess_of_tendon_of_lower_leg
3005,First_diagnosis_of__Abscess_of_tendon_of_lower_limb
3006,First_diagnosis_of__Abscess_of_tendon_of_thigh
3007,First_diagnosis_of__Abscess_of_tendon_of_upper_arm
3008,First_diagnosis_of__Abscess_of_tendon_of_upper_limb
3009,First_diagnosis_of__Abscess_of_tendon_sheath
3010,First_diagnosis_of__Abscess_of_tendon
3011,First_diagnosis_of__Abscess_of_thigh
3012,First_diagnosis_of__Abscess_of_thorax
3013,First_diagnosis_of__Abscess_of_thymus
3014,First_diagnosis_of__Abscess_of_toe
3015,First_diagnosis_of__Abscess_of_trunk
3016,First_diagnosis_of__Abscess_of_umbilicus
3017,First_diagnosis_of__Abscess_of_upper_arm
3018,First_diagnosis_of__Abscess_of_upper_eyelid
3019,First_diagnosis_of__Abscess_of_upper_limb
3020,First_diagnosis_of__Abscess_of_upper_respiratory_tract
3021,First_diagnosis_of__Abscess_of_urethral_gland
3022,First_diagnosis_of__Abscess_of_vulva
3023,First_diagnosis_of__Abscess_of_wrist
3024,First_diagnosis_of__Abscess
3025,First_diagnosis_of__Absence_of_breast
3026,First_diagnosis_of__Absence_of_hand
3027,First_diagnosis_of__Absence_of_lower_limb
3028,First_diagnosis_of__Absence_of_lung
3029,First_diagnosis_of__Absence_of_sensation
3030,First_diagnosis_of__Absence_of_toe
3031,First_diagnosis_of__Absence_of_upper_arm
3032,First_diagnosis_of__Absence_of_upper_limb
3033,First_diagnosis_of__Absence_seizure
3034,First_diagnosis_of__Absent_blood_vessel_in_umbilical_cord
3035,First_diagnosis_of__Absent_finger
3036,First_diagnosis_of__Absent_foot
3037,First_diagnosis_of__Absent_kidney
3038,First_diagnosis_of__Absent_nipple
3039,First_diagnosis_of__Absolute_glaucoma
3040,First_diagnosis_of__Abuse_of_antacids
3041,First_diagnosis_of__Abuse_of_antidepressant_drug
3042,First_diagnosis_of__Abuse_of_herbal_medicine_or_folk_remedy
3043,First_diagnosis_of__Abuse_of_laxatives
3044,First_diagnosis_of__Abuse_of_non_dependence_producing_substances
3045,First_diagnosis_of__Abuse_of_steroids
3046,First_diagnosis_of__Abuse_of_vitamins
3047,First_diagnosis_of__Abusive_behavior
3048,First_diagnosis_of__Abusive_sexual_relationship
3049,First_diagnosis_of__Academic_underachievement_disorder
3050,First_diagnosis_of__Acanthamoeba_keratitis
3051,First_diagnosis_of__Acanthosis_nigricans
3052,First_diagnosis_of__Acariasis
3053,First_diagnosis_of__Accelerated_atrioventricular_conduction
3054,First_diagnosis_of__Accessory_breast
3055,First_diagnosis_of__Accessory_carpal_bones
3056,First_diagnosis_of__Accessory_gonad
3057,First_diagnosis_of__Accessory_kidney
3058,First_diagnosis_of__Accessory_lobe_of_lung
3059,First_diagnosis_of__Accessory_lung
3060,First_diagnosis_of__Accessory_nipple
3061,First_diagnosis_of__Accessory_rib
3062,First_diagnosis_of__Accessory_salivary_gland
3063,First_diagnosis_of__Accessory_skeletal_muscle
3064,First_diagnosis_of__Accessory_structure_of_lower_respiratory_tract
3065,First_diagnosis_of__Accessory_ureter
3066,First_diagnosis_of__Accessory_urethra
3067,First_diagnosis_of__Accidental_anti_common_cold_drug_poisoning
3068,First_diagnosis_of__Accidental_cannabis_poisoning
3069,First_diagnosis_of__Accidental_cut_during_medical_care
3070,First_diagnosis_of__Accidental_hair_treatment_poisoning
3071,First_diagnosis_of__Accidental_injury
3072,First_diagnosis_of__Accidental_laceration_during_a_procedure
3073,First_diagnosis_of__Accidental_local_antipruritic_poisoning
3074,First_diagnosis_of__Accidental_local_astringent_and_detergent_poisoning
3075,First_diagnosis_of__Accidental_narcotic_poisoning
3076,First_diagnosis_of__Accidental_needle_stick_injury
3077,First_diagnosis_of__Accidental_oral_contraceptive_poisoning
3078,First_diagnosis_of__Accidental_pesticide_product_poisoning
3079,First_diagnosis_of__Accidental_phosphodiesterase_inhibitor_poisoning
3080,First_diagnosis_of__Accidental_poisoning_by_acids
3081,First_diagnosis_of__Accidental_poisoning_by_adrenergics
3082,First_diagnosis_of__Accidental_poisoning_by_alcohol
3083,First_diagnosis_of__Accidental_poisoning_by_alcoholic_beverage
3084,First_diagnosis_of__Accidental_poisoning_by_amphetamine
3085,First_diagnosis_of__Accidental_poisoning_by_analgesic
3086,First_diagnosis_of__Accidental_poisoning_by_angiotensin_converting_enzyme_inhibitor
3087,First_diagnosis_of__Accidental_poisoning_by_anti_infective
3088,First_diagnosis_of__Accidental_poisoning_by_antiadrenergic
3089,First_diagnosis_of__Accidental_poisoning_by_antibiotic
3090,First_diagnosis_of__Accidental_poisoning_by_anticholinesterase
3091,First_diagnosis_of__Accidental_poisoning_by_anticonvulsant_and_antiparkinsonism_drugs
3092,First_diagnosis_of__Accidental_poisoning_by_anticonvulsant
3093,First_diagnosis_of__Accidental_poisoning_by_antidepressants
3094,First_diagnosis_of__Accidental_poisoning_by_antirheumatic
3095,First_diagnosis_of__Accidental_poisoning_by_arsenic_and_its_compounds_and_fumes
3096,First_diagnosis_of__Accidental_poisoning_by_aspirin
3097,First_diagnosis_of__Accidental_poisoning_by_barbiturates
3098,First_diagnosis_of__Accidental_poisoning_by_benzene
3099,First_diagnosis_of__Accidental_poisoning_by_benzodiazepine_based_tranquilizer
3100,First_diagnosis_of__Accidental_poisoning_by_bromine_compounds
3101,First_diagnosis_of__Accidental_poisoning_by_butyrophenone_based_tranquilizer
3102,First_diagnosis_of__Accidental_poisoning_by_cadmium_and_its_compounds
3103,First_diagnosis_of__Accidental_poisoning_by_caffeine
3104,First_diagnosis_of__Accidental_poisoning_by_calcium_channel_blocker
3105,First_diagnosis_of__Accidental_poisoning_by_cannabis_derivatives
3106,First_diagnosis_of__Accidental_poisoning_by_carbon_monoxide_from_incomplete_combustion_of_kerosene_or_paraffin_in_domestic_stove_or_fireplace
3107,First_diagnosis_of__Accidental_poisoning_by_carbon_monoxide_from_incomplete_combustion_of_piped_gas
3108,First_diagnosis_of__Accidental_poisoning_by_carbon_monoxide
3109,First_diagnosis_of__Accidental_poisoning_by_caustic_alkalis
3110,First_diagnosis_of__Accidental_poisoning_by_central_appetite_depressant
3111,First_diagnosis_of__Accidental_poisoning_by_central_depressant
3112,First_diagnosis_of__Accidental_poisoning_by_central_nervous_system_stimulants
3113,First_diagnosis_of__Accidental_poisoning_by_chloral_hydrate
3114,First_diagnosis_of__Accidental_poisoning_by_chlorine
3115,First_diagnosis_of__Accidental_poisoning_by_cholinergic
3116,First_diagnosis_of__Accidental_poisoning_by_CNS_drug
3117,First_diagnosis_of__Accidental_poisoning_by_cocaine
3118,First_diagnosis_of__Accidental_poisoning_by_copper_salt
3119,First_diagnosis_of__Accidental_poisoning_by_corrosive_aromatic
3120,First_diagnosis_of__Accidental_poisoning_by_corrosive
3121,First_diagnosis_of__Accidental_poisoning_by_cosmetics
3122,First_diagnosis_of__Accidental_poisoning_by_cyanide
3123,First_diagnosis_of__Accidental_poisoning_by_dental_drug
3124,First_diagnosis_of__Accidental_poisoning_by_detergent
3125,First_diagnosis_of__Accidental_poisoning_by_disinfectant
3126,First_diagnosis_of__Accidental_poisoning_by_drug_affecting_blood_constituent
3127,First_diagnosis_of__Accidental_poisoning_by_drug_primarily_acting_on_smooth_and_skeletal_muscle_and_respiratory_system
3128,First_diagnosis_of__Accidental_poisoning_by_drug_primarily_affecting_cardiovascular_system
3129,First_diagnosis_of__Accidental_poisoning_by_drug_primarily_affecting_gastrointestinal_system
